features_id,bedrooms,squareFootage,features,bathrooms,lotSize
93,4.0,2378.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roomCount': 7, 'unitCount': 1}",2.5,5519.0
94,0.0,4677.0,"{'cooling': True, 'coolingType': 'Refrigeration', 'exteriorType': 'Stucco', 'floorCount': 2, 'garage': True, 'garageSpaces': 6, 'garageType': 'Garage', 'heating': True, 'pool': True, 'roofType': 'Concrete Tile'}",6.0,12601.0
95,2.0,1004.0,"{'architectureType': 'Townhouse', 'exteriorType': 'Brick', 'unitCount': 1}",1.5,1307.0
96,1.0,863.0,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick / Stone', 'floorCount': 1, 'heating': True, 'unitCount': 1, 'viewType': 'Average'}",1.0,0.0
97,0.0,0.0,"{'architectureType': 'Condo / Apartment', 'floorCount': 26, 'unitCount': 1}",0.0,42875.0
98,0.0,1986.0,{},0.0,7579.0
99,5.0,1900.0,Unknown,4.5,6000.0
100,4.0,2551.0,"{'architectureType': 'Split Level', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 8, 'unitCount': 1}",2.5,16600.0
101,0.0,0.0,Unknown,0.0,94869.0
102,2.0,728.0,"{'garage': True, 'garageSpaces': 1, 'garageType': 'Detached Garage', 'heating': True, 'heatingType': 'Floor / Wall', 'unitCount': 1}",1.0,5369.0
103,2.0,936.0,"{'architectureType': 'Traditional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'heating': True, 'heatingType': 'Central', 'roomCount': 4, 'unitCount': 1}",1.0,5001.0
104,0.0,1248.0,{'architectureType': 'Mobile Home'},0.0,43560.0
105,2.0,1104.0,Unknown,1.0,0.0
106,4.0,3187.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Footing', 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'poolType': 'Pool and Hot Tub / Spa', 'roofType': 'Shingle', 'unitCount': 1}",3.0,12998.0
107,3.0,3200.0,Unknown,3.5,0.0
108,2.0,1932.0,"{'exteriorType': 'Stone', 'floorCount': 1}",2.0,12197.0
109,0.0,0.0,{},0.0,43560.0
110,4.0,3080.0,Unknown,3.5,117612.0
111,3.0,1569.0,"{'architectureType': 'Contemporary', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}",2.0,6771.0
112,12.0,2390.0,"{'exteriorType': 'Concrete Block', 'floorCount': 1}",12.0,4000.0
113,0.0,1882.0,"{'architectureType': 'Ranch / Rambler', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'unitCount': 1}",3.0,13068.0
114,4.0,2645.0,"{'architectureType': 'Contemporary', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Other', 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 8, 'unitCount': 1}",2.5,6839.0
115,5.0,6642.0,"{'cooling': True, 'coolingType': 'Commercial', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 4, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'pool': True, 'poolType': 'Pool and Hot Tub / Spa', 'roofType': 'Tile', 'unitCount': 1}",6.0,44431.0
116,0.0,1340.0,"{'architectureType': 'Townhouse', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",2.5,1614.0
